Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,,,,,
Attribute,,,,,
Continuant,,,,,
Entity,,,,,
Object,,,,,
Occurrent,,,,,
Physical,,,,,
Process,,,,,
Relation,,,,,
Process,CognitiveProcess,MemoryEncoding,,,
Process,CognitiveProcess,MemoryRetrieval,,,
Entity,AbstractEntity,MentalRepresentation,,,
Physical,Collection,MerchantMarine,,,
Process,CognitiveProcess,MetacognitiveProcess,,,
Object,Artifact,MetalArtifact,,,
Entity,AbstractEntity,MetricFunction,,,
Object,Artifact,MilitaryArtifact,,,
Object,Region,MilitaryBase,,,
Object,Artifact,MiningArtifact,,,
Object,Artifact,Mirror,,,
Object,Artifact,MobileStructure,,,
Entity,AbstractEntity,ModalEntity,,,
Process,CognitiveProcess,ModeDecompositionProcess,,,
Entity,AbstractEntity,ModeSpectrum,,,
Abstract,Proposition,Model,,,
Entity,AbstractEntity,ModelExecutionInstance,,,
Process,IntentionalProcess,Modeling,,,
Physical,Collection,MonoploidChromosomeSet,,,
Process,CognitiveProcess,MoralReasoningProcess,,,
Attribute,InternalAttribute,Moribund,,,
Process,Motion,MotionDownward,,,
Process,Motion,MotionUpward,,,
Object,Region,MultimodalTransitPoint,,,
Attribute,InternalAttribute,MultipoleAttribute,,,
Abstract,Proposition,MultipolePostulate,,,
Physical,Collection,MultivariateTest,,,
Abstract,Proposition,Music,,,
Attribute,RelationalAttribute,MusicGenre,,,
Attribute,InternalAttribute,Nascent,,,
Entity,AbstractEntity,Neighborhood,,,
Process,CognitiveProcess,NetworkReasoningProcess,,,
Entity,AbstractEntity,NetworkStructure,,,
Process,CognitiveProcess,NetworkSubgraphExtractionProcess,,,
Entity,AbstractEntity,NodeCluster,,,
Entity,Game,NonCooperativeGame,,,
Attribute,InternalAttribute,Nonlinear,,,
Entity,AbstractEntity,NormalMode,,,
Attribute,RelationalAttribute,NormativeAttribute,,,
Relation,InheritableRelation,ObjectAttitude,,,
Entity,,Objective,,,
Abstract,ScientificEntity,Observation,,,
Process,Motion,Opening,,,
Object,AutonomousAgent,Organism,,,
Object,AutonomousAgent,Organization,,,
Process,IntentionalProcess,OrganizationalProcess,,,
Object,Region,Outdoors,,,
Physical,Collection,Outfit,,,
Process,CognitiveProcess,PRSuppressionProcess,,,
Object,Artifact,Paper,,,
Entity,AbstractEntity,Path,,,
Object,Region,Patio,,,
Attribute,,PerceptualAttribute,,,
Process,CognitiveProcess,PerceptualProcess,,,
Attribute,PhysicalQuantity,PerformanceMeasure,,,
Object,Region,PerimeterArea,,,
Object,Region,PersonalSpace,,,
Object,Artifact,PharmaceuticalArtifact,,,
Object,Artifact,PhotographicFilm,,,
Attribute,InternalAttribute,PhysicalAttribute,,,
Attribute,InternalAttribute,PhysicalDomain,,,
Attribute,InternalAttribute,PhysicalState,,,
Object,Artifact,PictureFrame,,,
Object,Artifact,Pillow,,,
Object,Artifact,Piston,,,
Object,Region,PlaneInSpace,,,
Process,CognitiveProcess,PlanningProcess,,,
Attribute,RelationalAttribute,PlantAttribute,,,
Object,Artifact,Plastic,,,
Object,Region,PlayArea,,,
Object,Artifact,Plug,,,
Object,Region,PointInSpace,,,
Entity,Game,Poker,,,
Process,IntentionalProcess,Poking,,,
Entity,,Policy,,,
Attribute,RelationalAttribute,PoliticoEconomicAttribute,,,
Physical,Collection,PopulationGroup,,,
Attribute,RelationalAttribute,PositionalAttribute,,,
Object,Artifact,Pottery,,,
Relation,,Predicate,,,
Abstract,ScientificEntity,Prediction,,,
Attribute,RelationalAttribute,PreparedFoodAttribute,,,
Attribute,RelationalAttribute,PriorityAttribute,,,
Entity,AbstractEntity,ProbabilisticEntity,,,
Relation,,ProbabilityRelation,,,
Entity,AbstractEntity,ProbeConceptAxis,,,
Abstract,Proposition,Procedure,,,
Attribute,RelationalAttribute,ProcessStatus,,,
Object,Artifact,Product,,,
Entity,AbstractEntity,ProgramState,,,
Process,IntentionalProcess,PromptFollowing,,,
Relation,InheritableRelation,PropositionalAttitude,,,
Process,Motion,Pulling,,,
Process,IntentionalProcess,Punching,,,
Process,IntentionalProcess,Pursuing,,,
Process,Motion,Pushing,,,
Entity,AbstractEntity,QState,,,
Process,InternalChange,QuantityChange,,,
Entity,AbstractEntity,QuantumLikeSystem,,,
Process,CognitiveProcess,QuantumReasoningProcess,,,
Relation,InheritableRelation,QuaternaryFunction,,,
Relation,InheritableRelation,QuaternaryPredicate,,,
Relation,,QuaternaryRelation,,,
Relation,InheritableRelation,QuintaryPredicate,,,
Relation,,QuintaryRelation,,,
Process,Motion,Radiating,,,
Object,Region,RealEstate,,,
Attribute,RelationalAttribute,RealtimeSystemAttribute,,,
Entity,AbstractEntity,RecommenderSystem,,,
Attribute,RelationalAttribute,RecordingAttribute,,,
Process,IntentionalProcess,RecreationOrExercise,,,
Relation,BinaryRelation,ReflexiveRelation,,,
Abstract,Proposition,RegionalLaw,,,
Relation,,RelationExtendedToQuantities,,,
Attribute,RelationalAttribute,ReligiousAttribute,,,
Physical,Collection,RemoteKeylessSystem,,,
Process,IntentionalProcess,Repairing,,,
Entity,Game,RepeatedGame,,,
Object,Artifact,Reservoir,,,
Physical,Collection,RestaurantChain,,,
Physical,Collection,RetailStoreChain,,,
Process,CognitiveProcess,ReverseEngineeringProcess,,,
Process,Motion,Reversing,,,
Process,CognitiveProcess,RiskAssessmentProcess,,,
Attribute,,RiskAttribute,,,
Process,CognitiveProcess,RiskManagementProcess,,,
Physical,Collection,RiverSystem,,,
Object,Region,Road,,,
Physical,Collection,RobotSwarm,,,
Physical,Collection,RoomInventory,,,
Process,Motion,Rotating,,,
Process,IntentionalProcess,SafeAIDeployment,,,
Object,Artifact,Sail,,,
Entity,AbstractEntity,SampleSet,,,
Attribute,InternalAttribute,SaturationAttribute,,,
Abstract,ScientificEntity,ScientificEvidence,,,
Abstract,ScientificEntity,ScientificLaw,,,
Abstract,ScientificEntity,ScientificModel,,,
Process,IntentionalProcess,ScientificReasoningProcess,,,
Abstract,ScientificEntity,ScientificTheory,,,
Physical,Collection,Script,,,
Process,CognitiveProcess,SelfDeceptiveReasoning,,,
Process,CognitiveProcess,SelfModelingProcess,,,
Object,AutonomousAgent,SentientAgent,,,
Attribute,RelationalAttribute,ServiceAttribute,,,
Attribute,InternalAttribute,ShapeAttribute,,,
Process,InternalChange,ShapeChange,,,
Object,Artifact,Shelf,,,
Object,Artifact,Shield,,,
Object,Artifact,ShipCompartment,,,
Object,Artifact,ShipDeck,,,
Object,Artifact,ShipsHull,,,
Object,Artifact,ShoeSole,,,
Attribute,RelationalAttribute,ShootingAngle,,,
Entity,Game,SignallingGame,,,
Entity,AbstractEntity,SimilarityFunction,,,
Relation,,SingleValuedRelation,,,
Object,Region,SittingArea,,,
Attribute,RelationalAttribute,SizeAttribute,,,
Physical,Collection,Skull,,,
Process,CognitiveProcess,SlowDeliberativeProcess,,,
Entity,Game,Snooker,,,
Process,CognitiveProcess,SocialCognitionProcess,,,
Entity,Game,SocialDilemmaGame,,,
Process,IntentionalProcess,SocialInteraction,,,
Entity,AbstractEntity,SocialNetwork,,,
Attribute,RelationalAttribute,SocialRole,,,
Attribute,RelationalAttribute,SoftwareAttribute,,,
Physical,Collection,SolarSystem,,,
Attribute,InternalAttribute,SolubilityAttribute,,,
Attribute,RelationalAttribute,SoundAttribute,,,
Object,Region,SpaceRegion,,,
Relation,,SpatialRelation,,,
Attribute,RelationalAttribute,SpeedScaleAttribute,,,
Entity,AbstractEntity,SpinorRepresentation,,,
Entity,Game,Sport,,,
Entity,AbstractEntity,State,,,
Process,InternalChange,StateChange,,,
Object,Artifact,StationaryArtifact,,,
Abstract,ScientificEntity,StatisticalHypothesis,,,
Entity,AbstractEntity,StatisticalObservation,,,
Process,CognitiveProcess,SteganalysisProcess,,,
Entity,Game,StrategicFormGame,,,
